symbol,state,longScore,shortScore,last,mark,changePct,quoteVolume,funding,oi,m15Close,m15MA7,m15MA25,m15VolRatio,m15BuyRatio,h1Close,h1MA7,h1MA25,h1High20,h1Low20,h1VolRatio,h1RangePos,h4Close,h4MA7,h4MA25,dClose,dMA7,dMA25,longReasons,longWarnings,shortReasons,shortWarnings
AAVEUSDT,NEUTRAL,44,14,99.52,99.58,3.14,78909930.66,7.247e-05,542537.5,99.56,99.88714286,99.4896,0.1,0.539,99.57,99.33714286,98.3092,101.55,95.28,0.84,0.684,99.56,98.41428571,98.7364,99.57,98.16714286,94.7048,日线多头排列；4H仍在MA25上方；1H站上MA7；资金费率不过热,,15m短线偏弱；资金费率不过热,
PUMPUSDT,NEUTRAL,44,14,0.002008,0.002009,6.24,66729085.03,5e-05,23737145850.0,0.002009,0.00200929,0.00200032,0.08,0.484,0.002009,0.00199743,0.00194672,0.002045,0.001869,0.63,0.795,0.002009,0.00195086,0.00197916,0.002009,0.001962,0.00175364,日线多头排列；4H仍在MA25上方；1H站上MA7；资金费率不过热,,15m短线偏弱；资金费率不过热,
BEATUSDT,NEUTRAL,42,24,3.87,3.86789313,7.98,57919937.66,8.073e-05,4593500.0,3.869,3.90014286,3.8678,0.11,0.531,3.869,3.87314286,3.78548,3.991,3.647,0.47,0.645,3.869,3.77942857,3.55764,3.869,3.51585714,2.81472,日线多头排列；4H趋势偏多；资金费率不过热,1H未站上短均线,1H在MA7下方；15m短线偏弱；资金费率不过热,
ONUSDT,NEUTRAL,42,16,0.23496,0.23471,-18.15,148088271.47,5e-05,52236068.0,0.23461,0.23231429,0.2330696,0.27,0.488,0.23486,0.23282286,0.2445076,0.28777,0.22003,0.53,0.219,0.23461,0.24631,0.2443404,0.23486,0.22667286,0.1429696,日线多头排列；1H站上MA7；15m短线转强；资金费率不过热,,4H弱于MA25；资金费率不过热,24h跌幅过大，追空防反抽
COTIUSDT,NEUTRAL,34,24,0.012879,0.012889,-30.61,510061798.31,-0.00024912,745098787.0,0.012894,0.01290243,0.01333584,0.13,0.492,0.012894,0.01328629,0.01500728,0.01898,0.012616,0.35,0.044,0.012894,0.01468429,0.01258076,0.012894,0.01136329,0.00873252,日线多头排列；4H仍在MA25上方；资金费率不过热,1H未站上短均线,1H在MA7下方；15m短线偏弱；资金费率不过热,24h跌幅过大，追空防反抽
ONDOUSDT,NEUTRAL,34,24,0.4087,0.40869657,0.34,109052922.59,3.212e-05,101012471.7,0.4086,0.41117143,0.415128,0.54,0.488,0.4086,0.41434286,0.414264,0.4279,0.4039,0.91,0.196,0.4087,0.41371429,0.404464,0.4086,0.40147143,0.364796,日线多头排列；4H仍在MA25上方；资金费率不过热,1H未站上短均线,1H在MA7下方；15m短线偏弱；资金费率不过热,
XRPUSDT,NEUTRAL,30,42,1.08,1.0803,0.24,324880459.26,0.0001,301892189.1,1.0803,1.08158571,1.084108,0.11,0.485,1.0801,1.08271429,1.08202,1.0949,1.0722,0.7,0.348,1.0803,1.08267143,1.078016,1.0803,1.08277143,1.096384,4H仍在MA25上方；接近1H MA25缩量回踩；资金费率不过热,1H未站上短均线,日线空头排列；1H在MA7下方；15m短线偏弱；资金费率不过热,
KAITOUSDT,NEUTRAL,24,16,1.1321,1.1337,-6.72,129849298.71,-1.033e-05,45988266.8,1.1337,1.12847143,1.110592,0.08,0.517,1.1337,1.10782857,1.128244,1.2226,0.985,0.34,0.626,1.1337,1.12348571,1.195604,1.1337,1.16771429,0.906684,1H站上MA7；15m短线转强；资金费率不过热,,4H弱于MA25；资金费率不过热,
DEXEUSDT,NEUTRAL,18,36,2.278,2.28316179,-14.94,102702281.74,-0.00176007,7171483.58,2.283,2.23971429,2.2498,0.14,0.498,2.283,2.24971429,2.40176,2.597,2.158,0.68,0.285,2.283,2.40628571,2.74716,2.283,2.99542857,21.65804,1H站上MA7；15m短线转强,资金费率偏极端,日线空头排列；4H趋势偏空,资金费率偏极端
UAIUSDT,NEUTRAL,16,44,0.3544,0.3540558,-26.01,171274455.53,5e-05,21783543.0,0.3545,0.36312857,0.361196,0.17,0.475,0.3541,0.36028571,0.409452,0.492,0.3456,0.14,0.058,0.3541,0.40892857,0.355828,0.3541,0.34797143,0.359612,日线在MA7上方；资金费率不过热,1H未站上短均线,日线弱于MA25；4H弱于MA25；1H在MA7下方；15m短线偏弱；资金费率不过热,24h跌幅过大，追空防反抽
WLDUSDT,NEUTRAL,16,42,0.3089,0.30901449,0.03,80316580.78,4.792e-05,200146540.0,0.3088,0.30965714,0.308528,0.14,0.49,0.3088,0.3082,0.306892,0.3138,0.3009,0.58,0.612,0.3088,0.30711429,0.318464,0.3089,0.3246,0.368696,1H站上MA7；资金费率不过热,,日线空头排列；4H弱于MA25；15m短线偏弱；资金费率不过热,
BTCUSDT,NEUTRAL,16,24,64310.3,64325.2,0.06,8046586363.65,0.0001,105404.571,64310.3,64543.3,64743.516,0.26,0.53,64321.6,64655.58571429,64532.328,65391.3,63913.6,1.54,0.276,64310.3,64487.97142857,64250.228,64310.3,64336.68571429,64283.108,4H仍在MA25上方；资金费率不过热,1H未站上短均线；放量但未收复短均线，可能分歧/出货,1H在MA7下方；15m短线偏弱；资金费率不过热,
BANKUSDT,NEUTRAL,10,36,0.07101,0.0709,-63.24,1080491646.14,-0.0014185,283526767.0,0.0709,0.07109,0.0660352,0.09,0.498,0.07094,0.06573143,0.0944744,0.16554,0.05417,0.47,0.151,0.07094,0.09135429,0.2244668,0.0709,0.22670714,0.1469628,1H站上MA7,资金费率偏极端,日线弱于MA25；4H趋势偏空；15m短线偏弱,资金费率偏极端；24h跌幅过大，追空防反抽
ZECUSDT,SHORT_TRIGGER_OR_CLOSE,6,78,462.42,462.46208611,-2.07,275848830.5,0.0001,486625.123,462.46,466.06142857,470.4808,0.32,0.465,462.45,469.71714286,472.878,479.83,466.11,2.03,-0.267,462.45,472.11714286,474.092,462.45,476.40571429,507.868,资金费率不过热,1H未站上短均线；放量但未收复短均线，可能分歧/出货,日线空头排列；4H趋势偏空；1H在MA7下方；15m短线偏弱；1H放量跌破20根低点；资金费率不过热,
SUIUSDT,SHORT_WATCH,6,68,0.6882,0.68828011,-0.28,80762150.21,6.723e-05,104653703.9,0.6882,0.69072857,0.693564,0.06,0.473,0.6882,0.69285714,0.692836,0.7074,0.6844,1.01,0.165,0.6882,0.69224286,0.69238,0.6882,0.69607143,0.727764,资金费率不过热,1H未站上短均线,日线空头排列；4H趋势偏空；1H在MA7下方；15m短线偏弱；1H贴近区间下沿且量能不弱；资金费率不过热,
SOLUSDT,SHORT_WATCH,6,60,74.17,74.17,0.27,969704645.4,8.33e-05,8223880.32,74.17,74.41,74.558,0.15,0.515,74.17,74.43857143,74.2052,75.28,73.26,1.0,0.45,74.17,74.17714286,74.2572,74.17,74.49142857,76.2048,资金费率不过热,1H未站上短均线,日线空头排列；4H趋势偏空；1H在MA7下方；15m短线偏弱；资金费率不过热,
DOGEUSDT,SHORT_WATCH,6,60,0.07004,0.07004211,-0.77,198899004.54,2.434e-05,2693116042.0,0.07004,0.07023143,0.0704924,0.25,0.437,0.07004,0.07041,0.0703124,0.07102,0.06971,1.05,0.252,0.07004,0.07027,0.0707196,0.07004,0.07098857,0.0721392,资金费率不过热,1H未站上短均线,日线空头排列；4H趋势偏空；1H在MA7下方；15m短线偏弱；资金费率不过热,
1000PEPEUSDT,SHORT_WATCH,6,60,0.0027368,0.0027372,-0.76,89644306.37,1.081e-05,19467600448.0,0.0027375,0.00275914,0.00277196,0.26,0.488,0.0027375,0.00276707,0.0027599,0.0028091,0.0027278,1.52,0.119,0.0027375,0.00275566,0.00280567,0.0027372,0.0027966,0.00277133,资金费率不过热,1H未站上短均线；放量但未收复短均线，可能分歧/出货,日线弱于MA25；4H趋势偏空；1H在MA7下方；15m短线偏弱；1H贴近区间下沿且量能不弱；资金费率不过热,
NEARUSDT,SHORT_WATCH,6,60,1.644,1.645,1.29,88415900.32,0.0001,44801110.0,1.645,1.66114286,1.67488,0.27,0.402,1.645,1.67342857,1.6558,1.697,1.62,2.57,0.325,1.645,1.655,1.67552,1.645,1.70171429,1.86184,资金费率不过热,1H未站上短均线；放量但未收复短均线，可能分歧/出货,日线空头排列；4H趋势偏空；1H在MA7下方；15m短线偏弱；资金费率不过热,
HYPEUSDT,NEUTRAL,6,52,55.147,55.156,2.0,389373069.16,5e-05,4480693.55,55.155,55.51928571,55.66568,0.13,0.469,55.156,55.55414286,54.46224,56.139,52.8,0.88,0.706,55.156,54.54357143,55.62344,55.156,56.27185714,61.38408,资金费率不过热,1H未站上短均线,日线空头排列；4H弱于MA25；1H在MA7下方；15m短线偏弱；资金费率不过热,
REUSDT,NEUTRAL,6,52,0.4522,0.4525,-10.79,64504997.52,-2.663e-05,23714738.0,0.4526,0.45702857,0.453844,0.25,0.491,0.4525,0.45384286,0.467636,0.5089,0.4357,0.66,0.23,0.4526,0.46735714,0.463272,0.4525,0.4748,0.49958,资金费率不过热,1H未站上短均线,日线空头排列；4H弱于MA25；1H在MA7下方；15m短线偏弱；资金费率不过热,
ETHUSDT,NEUTRAL,6,50,1904.84,1905.0810155,-0.44,6049322164.45,2.617e-05,2304652.45,1904.99,1910.54857143,1919.2576,0.14,0.487,1904.76,1915.84571429,1915.04,1936.57,1898.57,1.08,0.163,1904.99,1913.89857143,1914.154,1905.0,1910.32428571,1861.7876,资金费率不过热,1H未站上短均线,4H趋势偏空；1H在MA7下方；15m短线偏弱；1H贴近区间下沿且量能不弱；资金费率不过热,
ENAUSDT,NEUTRAL,6,44,0.08085,0.08087,2.99,62856687.31,-3.501e-05,541089900.0,0.08086,0.08110714,0.0813364,0.23,0.513,0.08088,0.08124429,0.080294,0.08338,0.07787,0.81,0.546,0.08086,0.08042714,0.082924,0.08088,0.08314571,0.0822444,资金费率不过热,1H未站上短均线,日线弱于MA25；4H弱于MA25；1H在MA7下方；15m短线偏弱；资金费率不过热,
LINKUSDT,NEUTRAL,6,42,8.367,8.369,-0.05,67751604.33,0.0001,8739319.29,8.369,8.40285714,8.44868,0.28,0.484,8.369,8.43357143,8.41,8.538,8.257,0.94,0.399,8.369,8.40857143,8.43636,8.369,8.45242857,8.28008,资金费率不过热,1H未站上短均线,4H趋势偏空；1H在MA7下方；15m短线偏弱；资金费率不过热,
ESPUSDT,NEUTRAL,0,46,0.06959,0.0696199,10.57,146415602.72,-0.00041241,78139942.0,0.06961,0.07013286,0.0712016,0.14,0.49,0.06963,0.07114143,0.0715588,0.08517,0.06037,0.15,0.373,0.06961,0.07143714,0.073992,0.0696,0.07707286,0.0716632,,1H未站上短均线；资金费率偏极端,日线弱于MA25；4H趋势偏空；1H在MA7下方；15m短线偏弱,资金费率偏极端
ESPORTSUSDT,NEUTRAL,0,46,0.01947,0.01944119,-12.42,57330866.91,0.00093715,474826245.0,0.01947,0.01973143,0.0202632,0.64,0.469,0.01944,0.02020714,0.0197252,0.02335,0.01627,0.24,0.448,0.01944,0.01998286,0.0246136,0.01947,0.02971143,0.025112,,1H未站上短均线；资金费率偏极端,日线弱于MA25；4H趋势偏空；1H在MA7下方；15m短线偏弱,资金费率偏极端
EULUSDT,NEUTRAL,0,36,1.4145,1.4159,-6.66,55257939.88,-0.00266989,4886647.4,1.4149,1.4386,1.455832,0.1,0.474,1.4147,1.454,1.464268,1.5604,1.3716,0.98,0.228,1.4149,1.46062857,1.626988,1.4149,1.70635714,1.193668,,1H未站上短均线；资金费率偏极端,4H趋势偏空；1H在MA7下方；15m短线偏弱,资金费率偏极端
